Wall time,Step,Value
1653927302.249003,1399352,39.4900016784668
1653927303.889624,1399988,39.560001373291016
1653927305.2958713,1400532,41.5
1653927336.8393087,1413144,42.689998626708984
1653927384.5191045,1432316,45.900001525878906
1653927388.7534733,1434016,45.81999969482422
1653927409.5841138,1442160,46.09000015258789
1653927425.4747403,1448484,48.4900016784668
1653927443.0372422,1455460,48.72999954223633
1653927447.0528755,1457088,49.02000045776367
1653927451.1934888,1458720,49.33000183105469
1653927452.6309948,1459300,49.5099983215332
1653927470.4297829,1466392,46.7599983215332
1653927486.117287,1472624,47.0
1653927522.7442384,1487212,41.439998626708984
1653927535.8379893,1492468,42.2599983215332
1653927540.6192408,1494392,42.619998931884766
1653927553.6973643,1499656,41.099998474121094
1653927580.2129874,1510308,39.15999984741211
1653927583.9942489,1511804,40.41999816894531
1653927585.744241,1512500,40.86000061035156
1653927596.3692384,1516764,40.59000015258789
1653927629.1122732,1529644,41.34000015258789
1653927674.4685845,1547812,38.959999084472656
1653927684.9842076,1552020,40.47999954223633
1653927687.5935855,1553052,40.52000045776367
1653927725.5398993,1567976,41.369998931884766
1653927729.3353064,1569504,41.52000045776367
1653927740.9724832,1574076,42.09000015258789
1653927787.0231926,1592508,42.380001068115234
1653927796.8356912,1596428,42.529998779296875
1653927827.0544424,1608424,44.380001068115234
1653927835.3044422,1611756,44.439998626708984
1653927873.163819,1627032,44.70000076293945
1653927887.5700734,1632836,48.25
1653927935.0315254,1651944,47.779998779296875
1653927939.4690244,1653724,46.959999084472656
1653927940.797149,1654248,47.560001373291016
1653927950.828398,1658284,47.4900016784668
1653927951.9534009,1658736,47.4900016784668
1653927960.1877737,1662092,49.939998626708984
1653928001.9377735,1678844,50.189998626708984
1653928050.9496052,1697620,54.38999938964844
1653928078.5490987,1708616,52.81999969482422
1653928113.447691,1722456,61.459999084472656
1653928141.9255307,1733704,59.439998626708984
1653928177.3336303,1747528,62.970001220703125
1653928204.666137,1758292,62.90999984741211
1653928205.4005094,1758592,62.90999984741211
1653928211.7598898,1761088,65.16000366210938
1653928245.9935849,1774440,62.2400016784668
1653928255.7884948,1778384,62.33000183105469
1653928297.4167,1794944,60.900001525878906
1653928300.7135754,1796280,61.02000045776367
1653928330.3226838,1808060,61.43000030517578
1653928343.056851,1813228,61.810001373291016
1653928376.8819234,1826828,58.970001220703125
1653928381.1709507,1828528,59.20000076293945
1653928383.4550633,1829364,59.15999984741211
1653928394.7538953,1833812,54.70000076293945
1653928452.6602201,1856708,51.849998474121094
1653928471.910224,1864452,53.380001068115234
1653928489.7836623,1871656,51.650001525878906
1653928497.0805373,1874596,52.439998626708984
1653928511.0598183,1880204,53.91999816894531
1653928525.1066954,1885868,55.33000183105469
1653928536.7408152,1890548,55.38999938964844
1653928543.3099363,1893196,56.56999969482422
1653928547.4818106,1894840,56.599998474121094
1653928578.2903514,1907224,55.63999938964844
1653928600.457279,1916152,58.439998626708984
1653928619.316652,1923680,59.029998779296875
1653928654.8544428,1937640,56.97999954223633
1653928666.090258,1942028,56.369998931884766
1653928670.8244908,1943876,57.880001068115234
1653928699.015811,1955236,58.290000915527344
1653928703.1251795,1956916,58.900001525878906
1653928714.5671196,1961444,57.70000076293945
1653928739.2207165,1971308,57.689998626708984
1653928749.1241922,1975280,56.84000015258789
1653928768.7335565,1983172,56.47999954223633
